               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.09332,            0.039218,             0.04997,             0.62385,            0.035294,             0.02496,           0.0097673,            0.066995,            0.016502,            0.031865,            0.070526,           0.0032749,           0.0032749
                   1,            0.060524,            0.039147,            0.025247,             0.48045,             0.54351,             0.40676,             0.15946,            0.050969,            0.013026,           0.0087318,            0.040308,           0.0063901,           0.0063901
                   2,            0.057312,            0.034567,             0.01058,             0.49578,              0.4028,             0.41435,             0.16558,             0.05945,            0.014226,           0.0040538,           0.0098702,           0.0092854,           0.0092854
                   3,            0.052593,            0.032884,           0.0075609,             0.54015,              0.4276,             0.37176,             0.13921,            0.046712,            0.013606,            0.012741,             0.00901,             0.00901,             0.00901
                   4,            0.049727,            0.034031,           0.0061314,             0.74558,             0.36113,             0.48467,             0.26059,            0.048411,            0.014112,            0.005273,             0.00901,             0.00901,             0.00901
                   5,            0.047059,            0.032558,           0.0056863,             0.86792,             0.27479,             0.31356,               0.146,            0.042027,            0.015831,           0.0096248,             0.00868,             0.00868,             0.00868
                   6,            0.044429,            0.032605,           0.0047079,             0.56665,             0.38231,             0.46263,             0.22584,            0.040671,            0.014387,            0.010733,             0.00835,             0.00835,             0.00835
                   7,            0.043568,             0.03296,           0.0042276,             0.34625,              0.5024,             0.47744,             0.21282,            0.040328,            0.012902,           0.0032059,             0.00802,             0.00802,             0.00802
                   8,            0.041519,            0.031874,            0.003622,             0.67448,               0.413,             0.53164,             0.28564,            0.041332,            0.011585,           0.0024729,             0.00769,             0.00769,             0.00769
                   9,            0.041414,            0.032325,           0.0036343,             0.54384,             0.69349,             0.63896,             0.29547,            0.036818,            0.012392,           0.0013424,             0.00736,             0.00736,             0.00736
                  10,             0.04011,            0.032504,           0.0032673,              0.7404,             0.76256,              0.8032,             0.42119,            0.033859,            0.011341,           0.0010237,             0.00703,             0.00703,             0.00703
                  11,            0.039078,            0.031465,           0.0031171,             0.66905,             0.70118,             0.74457,             0.42267,            0.033965,             0.01136,           0.0012119,              0.0067,              0.0067,              0.0067
                  12,            0.038762,            0.031214,           0.0024803,             0.70256,             0.67932,             0.73753,             0.41677,            0.036696,            0.011313,           0.0009171,             0.00637,             0.00637,             0.00637
                  13,            0.037498,            0.031382,           0.0022155,             0.62904,             0.77589,             0.70051,               0.327,            0.036574,            0.012152,            0.001237,             0.00604,             0.00604,             0.00604
                  14,            0.037433,            0.031039,           0.0020809,             0.67135,             0.75244,             0.77728,             0.43026,            0.033228,            0.011514,          0.00053751,             0.00571,             0.00571,             0.00571
                  15,            0.036821,            0.030812,           0.0019774,              0.8009,             0.81503,              0.8558,             0.47086,            0.032773,            0.010647,          0.00065489,             0.00538,             0.00538,             0.00538
                  16,            0.036298,            0.031318,           0.0022628,             0.63774,             0.84113,              0.8539,             0.45127,            0.032204,            0.011024,          0.00044489,             0.00505,             0.00505,             0.00505
                  17,            0.035569,            0.030673,           0.0021465,             0.63329,             0.61755,             0.67633,              0.3662,            0.035294,            0.012043,          0.00038949,             0.00472,             0.00472,             0.00472
                  18,            0.035757,             0.03054,            0.001985,             0.61731,             0.83535,             0.81515,               0.436,            0.032138,             0.01099,          0.00038949,             0.00439,             0.00439,             0.00439
                  19,            0.034678,            0.030064,           0.0016396,             0.79373,             0.68876,               0.776,             0.46696,            0.029866,            0.010615,          0.00041989,             0.00406,             0.00406,             0.00406
                  20,            0.034678,            0.030253,           0.0014922,             0.78989,             0.77946,             0.88642,             0.50491,            0.033436,            0.010042,          0.00034186,             0.00373,             0.00373,             0.00373
                  21,            0.034969,            0.030507,           0.0015594,             0.70916,             0.78451,             0.83281,              0.4492,            0.032935,            0.010606,          0.00037272,              0.0034,              0.0034,              0.0034
                  22,            0.033787,            0.030296,           0.0015643,             0.76991,             0.78662,             0.85439,             0.48748,            0.030461,            0.010916,          0.00027176,             0.00307,             0.00307,             0.00307
                  23,            0.033341,            0.030106,           0.0017805,             0.77685,              0.7854,             0.84957,             0.46221,            0.031101,            0.010264,          0.00018309,             0.00274,             0.00274,             0.00274
                  24,            0.032801,            0.029463,           0.0014755,             0.74895,             0.80043,             0.89279,             0.50678,            0.030058,            0.010009,          0.00016689,             0.00241,             0.00241,             0.00241
                  25,            0.032197,             0.02959,            0.001689,              0.7242,             0.80212,             0.83764,             0.52059,            0.029941,            0.010243,          0.00018722,             0.00208,             0.00208,             0.00208
                  26,            0.031649,             0.02966,           0.0012307,              0.7641,             0.84477,             0.86455,             0.51963,            0.028446,            0.010002,          0.00013701,             0.00175,             0.00175,             0.00175
                  27,            0.031539,            0.028849,           0.0012315,             0.72552,             0.77276,             0.83889,             0.51168,             0.02814,            0.010168,          0.00014026,             0.00142,             0.00142,             0.00142
                  28,            0.031885,            0.029164,           0.0010284,             0.79575,             0.80398,             0.82947,             0.52523,            0.027661,           0.0097172,          8.9604e-05,             0.00109,             0.00109,             0.00109
                  29,            0.031381,            0.029085,           0.0010185,             0.81661,             0.81567,              0.8752,             0.53669,            0.028069,           0.0095599,          6.6206e-05,             0.00076,             0.00076,             0.00076
